RL,Jugador,País,Posc,Posc 2,Equipo,Edad,Rango Etario,Minutos,PenEjec,Goles/90,Ast/90,G+a/90,ACT.ACT,ACT.SCA90,PassLive,PassDead,HASTA,TiroalTiro,FaltRecib,ACG.ACG,ACG.GCA90,Toques,3. Ataq,Ataq.Pen,Ataq.Pen.PORC,3.Ataq.PORC,Tomas.Balónvivo,Att,Exitosa.PORC,Dist. tot.,Dist. Prg,Rec,PrgR,TiPas.Balónvivo,PL,Camb,PA,Bloqueos,Goles,Disp,PORC de TT,TalArc/90,G/T,DistDisp,Cmp,Total.Intent,Total.Cmp.PORC,Cortos.Cmp,Cortos.Intent,Cortos.Cmp.PORC,Derribos.Tkl,Derribos.TklG,Desafio.Tkl,Desafio.Tkl.PORC,Bloqueos.1,Tkl+Int,Penal concedido,Recup.,Aer.Ganados,Aer.Ganados.PORC
13,RAYAN AÏT-NOURI,ALG,DF,CC,Wolverhampton,22,Promesa,2329,0,0.08,0.04,0.12,65,2.51,41,9,6,3,6,5,0.19,1522,446,49,0.03,0.29,1522,115,53.9,4904,2435,1007,99,1047,2,5,5,24,2,24,33.3,0.31,0.08,16.8,1005,1190,84.5,627,688,91.1,71,44,28,57.1,32,86,1,136,21,45.7
14,KRISTOFFER AJER,NOR,DF,DF,Brentford,25,Maduro,1832,0,0.1,0.05,0.15,27,1.33,24,0,1,2,0,3,0.15,1042,158,58,0.06,0.15,1042,12,83.3,2367,1435,563,31,730,1,9,1,11,2,12,33.3,0.2,0.17,9.9,610,810,75.3,291,337,86.4,38,21,23,63.9,26,63,0,60,63,73.3
15,MANUEL AKANJI,SUI,DF,CC,Manchester City,28,Maduro,2511,0,0.07,0,0.07,55,1.97,45,1,0,3,2,4,0.14,2544,392,27,0.01,0.15,2544,4,50,8282,4923,1983,36,2261,4,15,2,10,2,15,33.3,0.18,0.13,17,2180,2334,93.4,1091,1136,96,42,28,22,56.4,28,65,0,142,27,50
16,NATHAN AKÉ,NED,DF,DF,Manchester City,28,Maduro,2042,0,0.09,0.09,0.18,36,1.59,28,0,2,4,1,6,0.26,2026,281,38,0.02,0.14,2026,10,50,6039,3501,1507,18,1744,1,3,2,14,2,20,25,0.22,0.1,10.8,1716,1864,92.1,882,921,95.8,26,16,13,65,17,40,0,119,46,62.2
18,TRENT ALEXANDER-ARNOLD,ENG,DF,DF,Liverpool,24,Promesa,2155,0,0.13,0.17,0.29,126,5.27,80,33,5,6,0,7,0.29,2296,582,34,0.02,0.25,2296,52,53.8,5701,2724,1492,97,1705,22,32,11,23,3,47,17,0.33,0.06,24.4,1553,2062,75.3,676,734,92.1,39,26,27,31,22,70,0,176,8,57.1
20,MIGUEL ALMIRÓN,PAR,DL,DL,Newcastle United,29,Maduro,1937,0,0.14,0.05,0.19,52,2.41,40,1,3,7,1,4,0.19,1029,475,86,0.08,0.46,1029,52,44.2,4488,2276,741,162,788,5,0,3,16,3,41,29.3,0.56,0.07,16.1,668,801,83.4,411,456,90.1,36,24,11,37.9,29,46,0,97,6,46.2
21,EDSON ÁLVAREZ,MEX,CC,CC,West Ham United,25,Maduro,2377,0,0.04,0.04,0.08,32,1.21,24,0,2,3,0,2,0.08,1599,201,16,0.01,0.13,1599,42,64.3,5147,2227,948,26,1184,2,9,5,14,1,17,17.6,0.11,0.06,21.1,1033,1207,85.6,518,573,90.4,80,39,31,47,59,122,1,164,30,46.9
22,JULIÁN ÁLVAREZ,ARG,CC,DL,Manchester City,23,Promesa,2647,2,0.37,0.27,0.65,118,4.01,74,28,4,10,2,15,0.51,1554,988,149,0.1,0.64,1552,42,47.6,4459,2092,1103,180,1069,9,1,4,27,11,96,38.5,1.26,0.09,17.8,1011,1258,80.4,615,679,90.6,24,13,8,25,30,26,0,98,4,14.3
23,ZEKI AMDOUNI,SUI,DL,DL,Burnley,22,Promesa,1953,1,0.23,0.05,0.28,50,2.3,30,0,5,7,5,4,0.18,789,337,68,0.09,0.43,788,88,33,3229,1654,513,93,445,7,1,4,19,5,48,43.8,0.97,0.08,17.8,396,500,79.2,216,265,81.5,27,18,7,28,23,36,0,79,15,21.1
24,SOFYAN AMRABAT,MAR,CC,DF,Manchester United,26,Maduro,938,0,0,0,0,19,1.82,19,0,0,0,0,1,0.1,770,120,1,0,0.16,770,10,60,2362,947,545,10,642,0,8,1,10,0,3,0,0,0,26.1,578,664,87,244,274,89.1,27,16,17,54.8,20,35,0,60,5,45.5
25,JOACHIM ANDERSEN,DEN,DF,DF,Crystal Palace,27,Maduro,3415,0,0.05,0.08,0.13,47,1.24,41,1,0,3,0,5,0.13,2609,140,44,0.02,0.05,2609,23,60.9,7243,4207,1604,10,2073,7,31,15,22,2,21,38.1,0.21,0.1,12.8,1731,2209,78.4,488,559,87.3,56,35,29,74.4,33,97,0,193,89,65.9
26,ELLIOT ANDERSON,SCO,CC,DL,Newcastle United,20,Promesa,1027,0,0,0.18,0.18,34,2.98,28,0,4,2,0,3,0.26,640,267,46,0.07,0.42,640,43,48.8,2272,1213,416,70,431,4,1,0,9,0,19,21.1,0.35,0,14.5,370,460,80.4,241,274,88,24,18,15,51.7,23,32,0,60,19,61.3
27,JAIDON ANTHONY,ENG,DL,DL,Bournemouth,23,Promesa,152,0,0,0,0,3,1.78,2,0,1,0,0,0,0,69,27,4,0.06,0.39,69,6,33.3,160,77,40,9,42,0,0,0,3,0,2,50,0.59,0,24.5,30,45,66.7,17,20,85,3,1,1,14.3,3,4,0,11,1,25
28,MICHAIL ANTONIO,JAM,DL,DL,West Ham United,33,Veterano,1695,0,0.32,0.11,0.42,33,1.75,18,1,5,3,4,5,0.27,527,259,59,0.11,0.49,527,62,46.8,2320,1084,398,104,288,3,4,2,22,6,30,46.7,0.74,0.2,13.1,180,308,58.4,111,154,72.1,15,8,3,27.3,16,19,0,55,33,38.4
29,ANTONY,BRA,DL,DL,Manchester United,23,Promesa,1324,0,0.07,0.07,0.14,55,3.74,45,1,2,0,4,3,0.2,815,428,58,0.07,0.53,815,71,36.6,3723,1953,571,149,570,3,1,3,23,1,43,34.9,1.02,0.02,18.9,468,595,78.7,295,348,84.8,40,21,20,50,29,52,1,96,2,8.7
30,OLIVER ARBLASTER,ENG,CC,CC,Sheffield United,19,Promesa,943,0,0,0,0,23,2.2,19,2,0,1,0,2,0.19,551,93,4,0.01,0.17,551,25,68,1489,634,313,4,406,0,2,3,8,0,1,100,0.1,0,16.6,349,438,79.7,173,200,86.5,23,14,7,46.7,17,38,0,52,9,37.5
31,CAMERON ARCHER,ENG,DL,CC,Sheffield United,22,Promesa,1832,0,0.2,0.05,0.25,49,2.41,32,0,9,5,1,4,0.2,563,307,69,0.12,0.55,563,61,49.2,2186,984,386,113,310,2,1,0,15,4,42,21.4,0.44,0.1,16.7,266,332,80.1,171,207,82.6,18,13,8,44.4,22,19,0,62,7,14.3
34,LORENZ ASSIGNON,TOG,DF,DF,Burnley,23,Promesa,1234,0,0.07,0.15,0.22,23,1.68,18,3,1,0,1,2,0.15,670,207,30,0.05,0.31,670,32,40.6,1862,1063,303,57,378,0,0,3,19,1,9,44.4,0.29,0.11,22.1,352,485,72.6,182,225,80.9,35,17,14,51.9,22,54,2,67,13,43.3
35,SERGE AURIER,CIV,DF,CC,Nottingham Forest,30,Maduro,833,0,0,0.22,0.22,15,1.62,12,1,1,0,1,2,0.22,568,127,13,0.02,0.22,568,14,21.4,1039,532,347,29,407,1,0,0,8,0,6,16.7,0.11,0,16,348,448,77.7,191,225,84.9,20,14,5,45.5,10,29,0,50,30,60
36,TAIWO AWONIYI,NGA,DL,DL,Nottingham Forest,25,Maduro,1042,0,0.52,0.26,0.78,30,2.6,22,0,2,0,4,6,0.52,294,118,43,0.15,0.4,294,16,50,748,320,209,45,169,2,1,2,3,6,22,50,0.95,0.27,11.5,127,175,72.6,88,111,79.3,9,7,1,50,7,10,0,33,21,30.4
37,JORDAN AYEW,GHA,DL,CC,Crystal Palace,31,Veterano,2543,0,0.14,0.25,0.39,72,2.55,40,5,5,7,12,12,0.42,1349,598,95,0.07,0.44,1349,130,40,5509,2119,967,173,876,4,5,2,43,4,48,39.6,0.67,0.08,18.2,681,920,74,417,478,87.2,65,36,21,50,43,81,0,155,33,35.1
38,BENOÎT BADIASHILE,FRA,DF,DF,Chelsea,22,Promesa,1338,0,0,0.07,0.07,23,1.55,18,0,0,2,1,3,0.2,1321,52,11,0.01,0.04,1321,1,0,3225,1734,976,3,1137,1,2,0,6,0,6,16.7,0.07,0,14.1,1065,1173,90.8,442,463,95.5,21,15,9,64.3,21,39,1,82,28,56
39,LEON BAILEY,JAM,CC,DL,Aston Villa,25,Maduro,2068,0,0.44,0.39,0.83,97,4.22,70,7,9,7,3,11,0.48,1040,589,129,0.12,0.57,1040,119,47.9,5148,2495,764,226,745,11,7,5,38,10,53,34,0.78,0.19,16.1,573,790,72.5,327,391,83.6,13,7,5,25,18,22,0,107,14,36.8
41,GEORGE BALDOCK,GRE,DF,DF,Sheffield United,30,Maduro,969,0,0,0.09,0.09,16,1.49,10,3,2,0,1,2,0.19,505,116,9,0.02,0.23,505,11,54.5,988,463,258,24,335,0,0,2,18,0,1,0,0,0,22.2,291,397,73.3,169,191,88.5,18,10,6,40,14,28,0,44,13,50
42,CARLOS BALEBA,CMR,CC,CC,Brighton,19,Promesa,1325,0,0,0,0,17,1.15,16,0,0,1,0,1,0.07,965,139,5,0.01,0.14,965,22,50,2903,1423,664,9,767,0,5,2,10,0,21,23.8,0.34,0,24.4,713,775,92,402,429,93.7,40,20,23,50,35,58,0,95,24,72.7
44,SHANDON BAPTISTE,GRN,CC,CC,Brentford,25,Maduro,229,0,0.39,0.39,0.79,5,1.96,4,0,1,0,0,1,0.39,130,34,6,0.05,0.26,130,11,54.5,322,170,69,1,87,0,0,0,5,1,2,100,0.79,0.5,6.6,66,90,73.3,33,39,84.6,4,4,1,20,5,7,0,17,3,33.3
45,VALENTÍN BARCO,ARG,DF,DL,Brighton,19,Promesa,307,0,0,0,0,8,2.35,5,3,0,0,0,0,0,274,100,5,0.02,0.37,274,11,45.5,697,367,188,20,204,2,1,1,5,0,4,50,0.59,0,24.2,179,233,76.8,120,131,91.6,11,5,6,75,3,15,0,16,1,12.5
46,ROSS BARKLEY,ENG,CC,CC,Luton Town,29,Maduro,2618,0,0.17,0.14,0.31,104,3.58,67,11,14,6,3,11,0.38,1778,430,39,0.02,0.24,1778,104,63.5,6416,2807,1115,39,1329,4,24,6,31,5,66,28.8,0.65,0.08,21.5,1218,1474,82.6,550,611,90,47,19,11,22.9,25,72,0,201,42,55.3
47,HARVEY BARNES,ENG,DL,CC,Newcastle United,25,Maduro,802,0,0.56,0.34,0.9,29,3.25,18,0,5,3,3,6,0.67,360,200,60,0.17,0.56,360,25,28,1782,1093,285,79,262,1,2,2,13,5,27,44.4,1.35,0.19,16,208,272,76.5,128,147,87.1,6,1,1,50,1,11,0,43,4,33.3
48,CHRIS BASHAM,ENG,DF,CC,Sheffield United,35,Veterano,321,0,0,0,0,3,0.84,1,0,0,1,1,0,0,185,32,5,0.03,0.17,185,4,75,320,163,89,6,125,0,1,0,2,0,2,0,0,0,10.8,103,138,74.6,62,70,88.6,7,2,2,22.2,9,12,0,16,7,46.7
49,CALVIN BASSEY,NGA,DF,DF,Fulham,23,Promesa,2303,0,0.04,0,0.04,15,0.59,13,0,0,2,0,2,0.08,1901,37,9,0.01,0.02,1901,14,78.6,6037,3035,1291,4,1582,0,12,1,20,1,5,20,0.04,0.2,10.1,1440,1674,86,483,514,94,49,29,21,72.4,32,77,1,171,30,54.5
52,AMARI'I BELL,JAM,DF,DF,Luton Town,29,Maduro,1720,0,0,0,0,25,1.31,22,0,0,0,2,3,0.16,1070,117,5,0.01,0.11,1070,27,37,3640,2020,607,10,783,2,3,4,23,0,2,100,0.1,0,18.8,645,835,77.2,324,372,87.1,50,33,22,62.9,33,75,0,98,20,47.6
53,JEAN-RICNER BELLEGARDE,FRA,CC,DL,Wolverhampton,25,Maduro,958,0,0.19,0.09,0.28,30,2.81,20,2,6,1,1,2,0.19,478,199,30,0.06,0.42,478,39,43.6,1850,880,302,49,297,1,0,2,11,2,15,33.3,0.47,0.13,16.5,241,314,76.8,144,161,89.4,17,10,7,46.7,18,25,0,41,8,23.5
54,ANIS BEN SLIMANE,TUN,CC,CC,Sheffield United,22,Promesa,419,0,0,0,0,12,2.58,8,1,1,1,0,0,0,216,65,12,0.06,0.3,216,17,11.8,452,168,120,21,129,1,0,3,7,0,8,37.5,0.64,0,18.2,92,139,66.2,47,70,67.1,11,6,4,40,7,16,0,35,7,28
55,SAÏD BENRAHMA,ALG,DL,CC,West Ham United,27,Maduro,620,0,0,0.15,0.15,26,3.77,23,0,3,0,0,1,0.15,355,168,35,0.1,0.47,354,38,36.8,1687,790,245,70,253,5,0,2,9,0,18,27.8,0.73,0,19.8,193,257,75.1,116,138,84.1,8,4,4,26.7,8,13,0,43,1,16.7
56,RODRIGO BENTANCUR,URU,CC,CC,Tottenham Hotspur,26,Maduro,1005,0,0.09,0.09,0.18,31,2.78,26,0,1,2,0,4,0.36,931,250,29,0.03,0.27,931,21,52.4,2769,1148,730,31,786,4,0,4,26,1,18,22.2,0.36,0.06,16.3,674,800,84.3,384,426,90.1,23,15,10,41.7,15,40,0,54,14,38.9
58,JÓHANN BERG GUÐMUNDSSON,ISL,CC,DL,Burnley,32,Veterano,1192,0,0.08,0.23,0.3,50,3.78,28,17,0,2,3,5,0.38,656,268,26,0.04,0.41,656,16,31.3,1836,605,420,69,465,4,5,2,14,1,15,40,0.45,0.07,15.6,396,544,72.8,164,184,89.1,13,4,7,43.8,14,29,0,56,14,40
59,SANDER BERGE,NOR,CC,CC,Burnley,25,Maduro,3005,0,0.03,0.06,0.09,67,2.01,63,0,3,0,1,8,0.24,1887,414,41,0.02,0.22,1887,41,48.8,6419,3091,1233,29,1529,7,10,2,14,1,25,12,0.09,0.04,17.6,1376,1562,88.1,568,637,89.2,76,46,34,58.6,49,99,0,202,64,57.1
60,LUKE BERRY,ENG,CC,DF,Luton Town,31,Veterano,323,0,0.56,0.28,0.84,6,1.67,2,1,1,2,0,1,0.28,143,46,13,0.09,0.32,143,3,66.7,141,30,70,7,83,0,0,0,3,2,8,50,1.11,0.25,10.9,64,99,64.6,38,45,84.4,7,2,2,66.7,6,7,0,8,7,50
61,BETO,GNB,DL,DL,Everton,25,Maduro,951,0,0.28,0,0.28,32,3.03,19,0,6,3,2,1,0.09,373,206,64,0.17,0.55,372,35,42.9,1021,384,250,58,179,1,1,0,6,3,42,28.6,1.14,0.07,14.7,108,180,60,66,98,67.3,14,6,4,33.3,11,15,0,36,47,45.6
62,JORDAN BEYER,GER,DF,DF,Burnley,23,Promesa,1234,0,0,0.07,0.07,10,0.73,10,0,0,0,0,1,0.07,1022,26,8,0.01,0.03,1022,7,57.1,3314,2089,678,1,840,1,5,2,9,0,5,0,0,0,8.2,766,861,89,270,298,90.6,35,20,14,58.3,22,51,0,57,28,51.9
63,PHILIP BILLING,DEN,CC,CC,Bournemouth,27,Maduro,1398,0,0.13,0.13,0.26,46,2.96,40,2,1,2,1,5,0.32,755,286,60,0.08,0.38,755,33,36.4,1772,798,438,63,518,0,6,2,17,2,30,26.7,0.52,0.07,20.6,404,537,75.2,232,279,83.2,33,16,9,33.3,31,53,0,76,36,60
64,YVES BISSOUMA,MLI,CC,CC,Tottenham Hotspur,26,Maduro,2068,0,0,0,0,44,1.91,35,2,3,0,0,3,0.13,2119,443,19,0.01,0.21,2119,47,57.4,7132,3006,1641,13,1787,3,4,4,19,0,24,20.8,0.22,0,25,1689,1842,91.7,948,1006,94.2,80,52,41,67.2,28,117,0,128,14,48.3
66,OSCAR BOBB,NOR,DL,CC,Manchester City,20,Promesa,302,0,0.3,0.3,0.6,22,6.56,16,0,4,1,1,6,1.79,219,173,27,0.12,0.79,219,18,61.1,671,395,159,38,169,3,0,0,5,1,4,25,0.3,0.25,11.1,155,177,87.6,101,107,94.4,7,3,2,50,4,12,0,17,1,33.3
67,JAYDEN BOGLE,ENG,DF,DF,Sheffield United,23,Promesa,2788,0,0.1,0,0.1,33,1.07,26,1,3,1,2,1,0.03,1374,329,55,0.04,0.24,1374,59,42.4,3511,1443,676,92,802,1,3,2,32,3,32,34.4,0.36,0.09,16.2,684,968,70.7,405,472,85.8,66,36,35,50,42,98,0,139,50,64.1
68,WILLY BOLY,CIV,DF,DF,Nottingham Forest,32,Veterano,1438,0,0.13,0.06,0.19,16,1,14,0,0,2,0,2,0.13,895,61,34,0.04,0.07,895,7,42.9,1712,864,446,3,597,1,1,3,10,2,14,42.9,0.38,0.14,10.4,503,671,75,201,229,87.8,46,29,22,55,32,71,0,86,57,68.7
69,SVEN BOTMAN,NED,DF,DF,Newcastle United,23,Promesa,1377,0,0.13,0.13,0.26,14,0.92,12,0,0,2,0,3,0.2,1154,29,20,0.02,0.03,1154,2,0,2866,1403,822,5,981,0,5,0,3,2,10,20,0.13,0.2,10.5,921,1017,90.6,357,382,93.5,20,13,8,61.5,20,29,1,70,34,66.7
70,JARROD BOWEN,ENG,DL,DL,West Ham United,26,Maduro,3019,0,0.48,0.18,0.66,81,2.42,55,7,6,5,6,12,0.36,1094,571,174,0.16,0.52,1094,97,35.1,4859,2141,745,186,641,5,3,2,52,16,84,44,1.1,0.19,14.2,484,702,68.9,284,341,83.3,42,28,13,37.1,37,61,0,118,33,32
71,CONOR BRADLEY,NIR,DF,DF,Liverpool,20,Promesa,753,0,0.12,0.36,0.48,27,3.22,18,1,3,2,1,3,0.36,661,243,38,0.06,0.37,661,30,43.3,2144,1085,388,64,445,3,1,0,16,1,12,33.3,0.48,0.08,17.3,419,530,79.1,238,275,86.5,33,25,24,63.2,17,43,0,50,11,68.8
72,JARRAD BRANTHWAITE,ENG,DF,DF,Everton,21,Promesa,3116,0,0.09,0,0.09,25,0.72,20,0,0,1,3,4,0.12,1791,61,39,0.02,0.03,1791,8,62.5,3161,1557,903,6,1366,0,6,6,12,3,14,28.6,0.12,0.21,11.6,1105,1385,79.8,440,507,86.8,66,32,45,72.6,51,116,1,181,94,68.6
73,BEN BRERETON,CHI,DL,CC,Sheffield United,24,Promesa,1105,1,0.49,0.08,0.57,31,2.52,21,0,4,2,3,4,0.33,387,185,51,0.13,0.48,386,28,35.7,1441,662,281,78,246,0,0,0,8,6,34,47.1,1.3,0.15,14.5,200,265,75.5,127,149,85.2,9,4,4,40,9,12,0,39,7,23.3
74,RHIAN BREWSTER,ENG,DL,CC,Sheffield United,23,Promesa,346,0,0,0,0,7,1.82,6,0,0,1,0,0,0,113,57,16,0.14,0.5,113,5,0,201,75,81,21,73,0,0,0,1,0,7,42.9,0.78,0,23.2,52,76,68.4,35,41,85.4,5,1,0,0,2,6,0,9,4,17.4
75,ARMANDO BROJA,ALB,DL,DL,Chelsea,21,Promesa,454,0,0.2,0,0.2,8,1.59,5,0,1,0,2,1,0.2,167,106,35,0.21,0.64,167,31,41.9,695,286,131,37,87,0,0,0,0,1,13,15.4,0.4,0.08,11.1,83,94,88.3,60,64,93.8,3,0,1,50,5,3,0,13,4,22.2
77,ANDRE BROOKS,ENG,CC,DF,Sheffield United,19,Promesa,938,0,0,0,0,9,0.86,6,0,2,1,0,0,0,395,118,16,0.04,0.3,395,24,50,1259,501,218,22,252,0,2,0,12,0,9,22.2,0.19,0,19.5,196,261,75.1,109,131,83.2,22,13,9,42.9,13,36,0,45,11,44
78,DAVID BROOKS,WAL,DL,CC,Bournemouth,26,Maduro,282,0,0.32,0.32,0.64,20,6.41,16,1,1,1,1,3,0.96,177,83,11,0.06,0.47,177,10,40,680,279,113,27,120,1,1,0,6,1,13,38.5,1.6,0.08,17.4,95,132,72,47,55,85.5,5,4,2,50,3,7,0,17,1,14.3
79,JACOB BROWN,SCO,CC,DL,Luton Town,25,Maduro,1019,0,0.18,0,0.18,15,1.33,10,0,1,1,3,0,0,427,181,50,0.12,0.42,427,25,24,1112,504,237,53,238,0,0,2,18,2,26,23.1,0.53,0.08,14.1,136,247,55.1,91,127,71.7,19,12,7,38.9,20,27,0,56,43,44.3
80,JOSH BROWNHILL,ENG,CC,CC,Burnley,27,Maduro,2252,0,0.16,0.08,0.24,70,2.8,43,19,1,3,3,6,0.24,1351,410,42,0.03,0.3,1351,13,53.8,2278,1018,702,36,998,4,3,5,18,4,28,39.3,0.44,0.14,21.8,850,1106,76.9,451,532,84.8,61,35,27,73,33,95,1,124,34,50.7
81,JACOB BRUUN LARSEN,DEN,CC,DL,Burnley,24,Promesa,1249,1,0.43,0,0.43,46,3.31,32,11,1,1,1,0,0,720,401,89,0.12,0.56,719,55,36.4,2539,1351,449,146,455,1,3,2,18,6,43,32.6,1.01,0.12,19.2,378,526,71.9,208,257,80.9,9,4,7,33.3,16,16,0,64,12,30
82,HUGO BUENO,ESP,DF,CC,Wolverhampton,20,Promesa,741,0,0,0,0,17,2.07,14,0,1,1,1,2,0.24,517,130,9,0.02,0.25,517,23,34.8,1575,785,306,40,358,0,1,2,18,0,5,0,0,0,18.4,318,406,78.3,211,237,89,21,14,12,63.2,17,27,0,37,9,42.9
83,SANTIAGO BUENO,URU,DF,DF,Wolverhampton,24,Promesa,822,0,0,0,0,5,0.55,5,0,0,0,0,0,0,566,18,1,0,0.03,566,1,100,1726,988,400,2,468,0,1,0,5,0,0,0,0,0,0,426,480,88.8,177,192,92.2,13,7,5,45.5,22,19,0,30,15,36.6
84,FACUNDO BUONANOTTE,ARG,DL,CC,Brighton,18,Filial,1364,0,0.2,0.07,0.26,38,2.51,26,1,2,3,5,2,0.13,673,277,35,0.05,0.41,673,52,34.6,2342,898,480,69,467,1,1,0,9,3,21,38.1,0.53,0.14,16.8,404,478,84.5,270,306,88.2,42,22,14,31.8,22,50,0,66,6,27.3
85,REECE BURKE,ENG,DF,DF,Luton Town,26,Maduro,1660,0,0,0.22,0.22,21,1.14,15,1,0,5,0,4,0.22,929,117,20,0.02,0.13,929,8,50,2080,1210,508,14,689,0,2,1,15,0,13,23.1,0.16,0,14.3,547,719,76.1,200,247,81,37,23,12,46.2,25,55,1,62,46,59
86,DAN BURN,ENG,DF,DF,Newcastle United,31,Veterano,2726,0,0.07,0.07,0.13,27,0.89,22,2,1,2,0,4,0.13,2007,212,46,0.02,0.11,2007,6,66.7,3930,1664,1150,25,1471,1,4,6,25,2,23,21.7,0.17,0.09,8.1,1351,1667,81,606,702,86.3,61,33,26,42.6,55,98,1,124,101,68.2
88,MOISÉS CAICEDO,ECU,CC,CC,Chelsea,21,Promesa,2866,0,0.03,0.09,0.13,66,2.07,52,0,3,1,6,12,0.38,2452,382,9,0,0.16,2452,56,46.4,5497,2466,1828,27,2065,12,12,9,29,1,13,30.8,0.13,0.08,29,1907,2119,90,1046,1120,93.4,91,46,36,60,59,128,1,200,30,49.2
89,TOM CAIRNEY,SCO,CC,CC,Fulham,32,Veterano,1488,0,0.06,0.24,0.3,71,4.3,62,2,2,2,1,13,0.79,1398,422,31,0.02,0.3,1398,33,78.8,4502,2261,1128,72,1239,2,1,6,13,1,17,47.1,0.48,0.06,21.2,1126,1272,88.5,603,644,93.6,24,16,13,52,16,37,0,105,14,70
